run_name,task,condition,platform,model,reasoning_effort,codex_version,score,max_score,protocol_valid,unsupported_claims,irrelevant_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_metric_coverage_complete,workspace_output_bytes_reliable,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-glm-03-coverage-gap-state-projection,coverage-gap,state-projection,macos,glm-5.2,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,239,239,0,0,True,True,0.0,0,0,1268,0
formal-glm-03-governance-queue-coverage-governance-projection,governance-queue,coverage-governance-projection,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,240,240,0,0,True,True,0.0,0,0,1289,0
formal-glm-03-governance-queue-source-only,governance-queue,source-only,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,211,211,0,0,True,True,0.0,0,0,1211,0
formal-glm-03-governance-queue-state-projection,governance-queue,state-projection,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,239,239,0,0,True,True,0.0,0,0,1287,0
formal-glm-03-review-due-coverage-governance-projection,review-due,coverage-governance-projection,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,240,240,0,0,True,True,0.0,0,0,961,0
formal-glm-03-review-due-source-only,review-due,source-only,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,211,211,0,0,True,True,0.0,0,0,910,0
formal-glm-03-review-due-state-projection,review-due,state-projection,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,239,239,0,0,True,True,0.0,0,0,960,0
formal-glm-03-scope-slice-coverage-governance-projection,scope-slice,coverage-governance-projection,macos,glm-5.2,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,240,240,0,0,True,True,0.0,0,0,1034,0
formal-glm-03-scope-slice-source-only,scope-slice,source-only,macos,glm-5.2,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,211,211,0,0,True,True,0.0,0,0,983,0
formal-glm-03-scope-slice-state-projection,scope-slice,state-projection,macos,glm-5.2,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,239,239,0,0,True,True,0.0,0,0,1033,0
formal-glm-03-source-trace-coverage-governance-projection,source-trace,coverage-governance-projection,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,240,240,0,0,True,True,0.0,0,0,1615,0
formal-glm-03-source-trace-source-only,source-trace,source-only,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,211,211,0,0,True,True,0.0,0,0,1543,0
formal-glm-03-source-trace-state-projection,source-trace,state-projection,macos,glm-5.2,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,239,239,0,0,True,True,0.0,0,0,1561,0
